,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,Years,"Population, total",Population growth (annual %),Surface area (sq. km),Population density (people per sq. km of land area),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),Terrestrial and marine protected areas (% of total territorial area),"Annual freshwater withdrawals, total (% of internal resources)",Urban population growth (annual %),Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Time required to start a business (days),Tax revenue (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Statistical Capacity Score (Overall Average) (scale 0 - 100),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)","Total debt service (% of exports of goods, services and primary income)",Net migration,"Personal remittances, received (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net official development assistance and official aid received (current US$)
1,1990,150706446,1.80985576444804,8515770,18.0310985458487,24,389692224212.687,2590,970854098978.388,6440,2.3,65.985,2.905,87.528,,,63.2,,78,,,,0.2,5888980,,0.735735735735736,2.87472984486413,930.331453772057,1.31313162278407,1444.2514290331,464989098144.854,-4.35000000000022,2736.97067768831,6.96344065508138,33.2718833933397,8.19723805886395,6.95836495806649,20.1677089633283,,,,2.36384102519699,0.000442582,,,11.5994117314118,66.44295302,120311895094.7,22.6383320676081,6457,573000000,989000000,174380004.882813
2,2000,175873720,1.36677132973907,8515770,21.0422079553585,,687477614140.252,3910,1536381998062.15,8740,,69.737,2.255,86.362,,98.6,34.7,,99,,,,0.3,5510886,,0.991167638226462,2.22769397356534,1065.77369262446,1.7835001158786,1885.66546497112,655448188246.11,4.38794944745618,5.60606514085735,4.75045997570861,23.0066186321239,10.1880480043795,12.4517133524146,18.9031192683871,,,,1.73072614713627,13.18455708,,,17.3563680608244,100,242511685521.8,86.1821613930119,-1761,1349591000,32994718699.75,255679992.675781
3,2013,201721767,0.868346150167205,8515770,24.1347676636189,3.7,2571101638578.34,12750,3090347659210.83,15320,3.5,73.918,1.748,62.936,80.2,98,16.7,,98,109.945137023926,103.917678833008,1.01664996147156,0.5,5069631.6,,1.19069731496202,1.20455580861832,1456.10904746834,2.4134465369818,2560.09555974195,2472819362259,3.00482266944432,7.50456453292993,4.5068861822272,21.2248099517239,11.7422306432624,14.0437266822704,21.6937669589669,28.6511222344884,86.6,14.1253057430265,1.32944608407492,134.3929329,11.9697168242237,75.5555555555556,19.6062036475279,125.7597432,483734834011.9,28.0385332599247,35308,2717675068.66,75211029129.4,1155729980.46875
4,2014,203459650,0.857834828724811,8515770,24.3426946665167,3.3,2457007472638.13,12080,3127764536961.12,15370,3.6,74.306,1.767,63.12,,98.4,16.3,,97,110.316459655762,102.635528564453,1.01811003684998,0.5,5054239.8,,1.14859565447801,1.18940932455394,1490.42584610757,2.51459195963426,2610.99928167575,2456043766063.5,0.503955740242247,7.84670974352809,4.32561053706441,20.4724627523359,11.0119428225147,13.6734629958056,20.5484107692172,27.3715145442707,83.6,13.4900745188201,1.330244423168,137.9776265,12.3710552617293,75.5555555555556,18.7979549216251,121.4837064,556919631071.7,22.9117035902146,24940,2647908513.04,87713983217.24,914150024.414063
5,2015,205188205,0.845992601345206,8515770,24.5495056316357,3.9,2084246948540.23,10160,2958026429307.17,14420,3.6,74.332,1.777,62.434,,98.2,15.9,,96,109.152183532715,100.920516967773,1.01473999023438,0.5,5038848,,1.1280692457163,1.17064141409405,,2.36536062099671,,1802211999555.59,-3.54576339269425,7.56617501207116,4.31914942775652,19.3600439758784,12.9001914177405,14.0534345182709,17.4116258682972,29.25143160027,86,13.6296293654077,1.36551715396161,125.6477067,14.485714883982,72.2222333333333,20.3772919107496,107.3474416,543397356309.8,39.762111539201,4764,2896909951.71,64738153494.44,1003190002.44141
6,2016,206859578,0.8112564782781,8515770,24.7494751224555,4.7,1839991635511.57,8890,2876740136507.09,13910,3.3,74.442,1.709,57.88,,98.6,16.7,,95,108.757843017578,102.569511413574,1.00854003429413,0.5,5020821,20.7372842292403,1.17134781840664,1.12788207695939,,2.16125984748939,,1795693265824.27,-3.27591690782192,8.10360435870246,4.89135358685971,18.3547582819084,12.4666790443888,12.0670030360511,14.9695469657992,29.6701052640299,82.5,13.7104309816062,1.34797541299482,117.9869738,15.999958400192,76.6666666666667,18.0862737629592,109.9276522,543257228545.3,51.0110829785495,82589,2739786526.59,74294627801.19,674630004.882813
7,2017,208504960,0.79226340042227,8515770,24.9463349501205,5.3,1808496325064.57,8670,2962271099129.21,14210,3.2,74.827,1.736,55.566,,98.7,15.4,,91,109.80850982666,103.015960693359,1.00513005256653,0.5,5000916,28.5782526119273,1.16021904257198,1.10209658803347,,2.18548661863967,,2063514688761.67,1.32286905404399,3.67138451275035,4.60059169424122,18.1885023124362,12.5189678700669,11.8007665046081,14.6255875996264,27.8247298509471,82.5,13.605228515206,1.41448561149999,106.1217992,14.3117190041583,74.4444333333333,18.4560353301167,116.2341709,543000326110.9,34.6166157924529,56362,2698770651.24,68885491315.23,273890014.648438
8,2018,210166592,0.793768153848091,8515770,25.1451389902538,5.3,1920049773488.66,9140,3058925247017.94,14550,3.1,75.109,1.749,53.436,,98.8,15.2,,92,108.623291015625,105.00707244873,1.00668001174927,0.5,4990514,28.5782526119273,1.17470411588059,1.09455847667219,,2.06426147881772,,1916933708404.16,1.783666761634,4.49353433137021,4.42039930378329,18.7490514539899,14.6349994952986,14.241203879248,15.0950416275172,28.5828852342878,20.1,13.9401079935106,1.46967772350671,99.64002652,14.7439120323979,84.4444333333333,22.1567390743828,114.7659498,557742529134.6,33.154528475531,67934,2933489276.49,78162724370.35,444980010.986328
9,2019,211782878,0.766107802084815,8515770,25.3385176606278,5.4,1953066623425.24,9220,3154920115524.25,14900,3.1,75.338,1.703,50.015,,99.1,14.9,3.1,91,107.407470703125,103.953277587891,1.00990998744965,0.5,4977985,28.5782512013805,1.19130895601484,1.06023755345792,,2.05077012882977,,1873288159000.64,1.22077782360842,4.22425886899158,4.20501409570354,18.7546275752859,14.1229191903622,14.7673386789326,15.5167908269592,29.1518761025088,16.6,13.7376948362641,1.37945692518112,95.38505233,14.0664586517771,84.4444333333333,22.1156044791856,114.945085,568690159150.8,53.2346780529118,69186,3213621676.71,69174411753.43,272500000
10,2020,213196304,0.665176682246802,8515770,25.5076253807665,1.9,1686362831541.95,7910,3110372805484.17,14590,4.5,74.009,1.649,46.296,,,14.7,,79,105.498199462891,104.125999450684,1.00648999214172,0.6,4966196,29.2372083081929,1.18689277512807,0.951553410794994,,1.94252335631484,,1476107292036.59,-3.2767587964736,6.47249960755747,5.71148511675454,19.506118396283,16.4535520041337,15.8485265369506,16.1158206144162,25.6990311015294,,12.7193878571982,1.35547020275614,96.54706819,11.3500476471567,81.1111,25.4396141815613,115.6160679,549263187525.6,50.1414140227839,56880,3566219438.48,37786286307.45,612530029.296875
11,2021,214326223,0.528590452919416,,,5.8,1692823917297.1,7900,3393700487874.69,15830,3.3,72.75,1.641,45.2,,,14.4,,73,,,,0.6,,29.2563048918493,,0.808423004096535,,,,1649622972159.35,4.98884970066018,11.3840669684878,7.48692132808022,20.1501991631351,19.5616763376612,18.6197503146106,19.4252119527289,27.6751697957015,,14.316847461319,1.19080984797947,102.48887,9.00153466515671,,31.2498679213472,,606484605480.6,44.8242140108559,20376,4102018147.7,46439071565.28,1108930053.71094
12,2022,215313498,0.459583548488331,,,,1753188080652.01,8140,3716655944205.98,17260,,,,,,,,,,,,,,,29.2563048918493,,0.731782791660602,,,,1920095560995.06,2.90053061522693,8.28319419036838,6.81318197126279,20.6976228826191,20.045538006281,19.2944556126532,18.1433368150596,,,,,,,,32.6223867563856,,,,,4969231432.81,91502103577.54,
